cap-diameter,stem-height,stem-width,date,cap-shape,cap-color,has-ring,ring-type,class
2.46,6.4,2.81,2020.12.17,s,n,f,f,e
5.19,6.33,8.78,2020.08.15,x,o,f,f,p
8.39,4.69,15.78,2020.04.09,x,k,f,f,e
5.81,6.66,7.22,2020.04.02,x,k,f,f,p
15.61,9.39,24.45,2020.08.20,s,n,f,f,e
1.59,6.18,3.11,2020.10.12,b,o,f,f,p
7.37,5.03,10.99,2020.11.12,x,y,f,f,e
7.54,7.55,15.78,2020.10.11,x,y,f,f,e
3.08,10.02,2.6,2020.10.11,b,g,f,f,p
4.42,4.41,7.26,2020.07.19,s,u,f,f,p
3.11,0.0,0.0,2020.01.24,o,g,f,f,p
1.05,2.82,1.55,2020.10.14,x,w,f,f,p
7.63,4.73,10.48,2020.03.17,x,p,f,f,p
3.47,0.0,0.0,2020.02.25,o,g,f,f,p
11.03,6.67,26.48,2020.01.05,s,w,f,f,e
8.52,9.14,12.42,2020.07.22,f,o,f,f,e
1.49,5.49,2.52,2020.08.20,x,n,f,f,p
4.78,4.71,8.26,2020.03.22,f,n,f,f,p
3.22,5.44,25.67,2020.06.04,o,w,t,f,p
1.24,4.96,2.37,2020.04.18,f,n,f,f,e
1.72,5.19,2.09,2020.07.01,b,n,f,f,p
1.19,3.19,1.56,2020.08.14,b,w,f,f,e
3.35,7.08,6.64,2020.05.31,b,y,t,z,p
3.42,3.28,7.38,2020.11.13,s,w,f,f,p
19.01,7.68,30.42,2020.09.09,x,w,f,f,p
1.59,4.33,1.46,2020.01.23,x,n,f,f,p
1.94,4.81,3.13,2020.02.18,s,n,f,f,e
3.86,7.57,4.16,2020.10.13,f,w,f,f,p
4.2,7.5,4.32,2020.09.29,f,n,f,f,e
1.68,5.51,1.62,2020.02.11,o,n,f,f,p
10.88,5.23,21.03,2020.01.26,f,b,t,f,e
2.25,4.13,2.61,2020.07.23,x,l,f,f,p
3.83,4.79,7.49,2020.10.12,f,u,f,f,p
1.1,3.54,2.59,2020.06.22,b,y,t,f,p
1.25,6.39,1.24,2020.02.02,c,e,f,f,e
4.74,7.07,11.21,2020.03.04,x,n,f,f,e
17.12,10.7,18.68,2020.02.20,x,n,t,,e
10.87,8.99,16.78,2020.08.27,p,n,t,l,e
6.76,5.65,15.09,2020.07.19,f,n,f,f,p
4.31,5.17,11.97,2020.05.07,f,y,f,f,p
52.81,7.84,45.82,2020.02.27,o,y,f,f,e
6.2,11.16,11.82,2020.08.07,b,w,t,e,p
3.71,4.96,8.3,2020.08.17,x,l,f,f,e
14.89,10.61,17.79,2020.07.20,x,n,t,,e
3.89,4.24,9.89,2020.09.15,x,y,f,f,e
1.45,4.75,1.36,2020.06.08,c,n,f,f,e
2.39,2.82,14.49,2020.02.22,o,g,f,f,p
4.13,6.24,7.29,2020.10.19,x,y,f,f,p
2.34,5.1,2.25,2020.05.03,b,n,f,f,p
3.26,5.01,4.31,2020.02.12,s,u,f,f,p
12.62,10.8,24.05,2020.04.22,x,n,f,f,e
6.15,7.17,9.07,2020.08.06,x,n,f,f,p
11.06,7.57,19.55,2020.03.30,f,g,f,f,e
5.77,4.98,10.82,2020.12.28,x,y,f,f,p
3.76,0.0,0.0,2020.02.01,o,n,t,f,p
6.94,6.35,9.33,2020.06.19,x,n,f,f,p
7.21,5.7,9.89,2020.04.16,x,n,f,f,e
2.75,7.3,3.89,2020.04.08,f,n,f,f,e
7.63,6.48,11.48,2020.11.12,x,n,f,f,e
3.18,6.41,4.53,2020.10.06,b,n,f,f,p
4.54,6.82,7.24,2020.12.07,b,k,f,f,p
6.52,5.43,10.06,2020.02.23,x,n,f,f,e
6.87,3.44,8.15,2020.11.13,s,w,f,f,e
3.15,4.13,2.39,2020.05.02,f,b,f,f,p
0.91,3.24,2.55,2020.08.19,b,n,t,f,p
8.18,6.77,33.63,2020.02.22,f,w,f,f,e
5.55,5.05,10.14,2020.03.16,b,g,f,f,e
13.21,11.67,32.1,2020.12.29,x,n,f,f,p
1.78,7.02,2.47,2020.03.04,x,y,f,f,e
6.96,8.42,19.48,2020.03.05,x,e,f,f,e
10.84,9.79,25.71,2020.04.02,x,n,f,f,p
7.93,4.77,9.99,2020.02.06,f,p,f,f,p
8.13,6.86,14.44,2020.01.11,x,y,t,,e
9.5,7.11,17.41,2020.04.29,f,y,f,f,p
1.21,4.14,2.62,2020.11.17,b,n,t,f,p
1.13,3.46,1.51,2020.12.18,p,g,f,f,e
6.4,5.65,10.08,2020.05.03,f,g,f,f,e
2.07,4.81,2.72,2020.03.03,x,l,f,f,p
4.66,5.08,7.56,2020.09.10,x,r,t,e,p
1.15,3.4,1.61,2020.03.18,b,g,f,f,e
9.14,10.05,16.3,2020.01.08,x,n,t,g,e
7.02,4.15,12.53,2020.09.02,x,n,t,r,e
8.47,7.75,17.15,2020.12.27,x,u,f,f,p
10.29,7.87,27.41,2020.03.28,x,y,f,f,p
6.11,3.8,10.84,2020.03.13,f,n,t,l,e
7.69,6.32,12.88,2020.06.09,x,w,t,g,e
1.78,6.18,2.22,2020.05.15,x,y,f,f,e
2.38,3.19,4.66,2020.03.18,f,o,f,f,p
5.86,5.63,10.8,2020.11.12,f,g,f,f,p
8.97,4.44,23.13,2020.09.07,s,n,f,f,e
6.7,6.43,10.73,2020.12.30,x,n,f,f,e
5.5,6.82,6.87,2020.04.24,s,n,f,f,p
6.51,5.8,16.58,2020.10.20,x,y,f,f,e
1.93,2.61,2.17,2020.11.20,x,k,f,f,p
2.26,6.23,2.29,2020.06.20,x,e,f,f,p
5.96,6.32,9.94,2020.08.06,f,n,f,f,e
1.0,3.57,2.42,2020.06.04,b,n,t,f,p
1.08,3.3,1.69,2020.12.24,p,w,f,f,e
14.18,8.23,21.15,2020.03.10,f,k,f,f,e
4.36,5.4,19.49,2020.06.15,o,n,f,f,e
1.69,5.44,1.62,2020.04.20,c,n,f,f,e
3.63,7.31,7.32,2020.11.02,x,w,t,,e
7.84,6.58,12.07,2020.08.30,x,n,f,f,e
4.01,4.62,3.31,2020.06.01,b,n,f,f,e
2.7,3.04,5.14,2020.12.09,s,o,f,f,p
9.03,6.31,10.64,2020.11.21,f,e,f,f,p
6.74,6.46,13.72,2020.12.25,x,y,t,g,e
7.99,6.91,10.27,2020.05.28,f,n,f,f,e
1.33,5.12,2.42,2020.02.15,x,n,f,f,p
3.04,4.29,5.63,2020.12.11,x,e,f,f,p
4.73,12.81,6.42,2020.01.08,b,n,t,,p
7.39,7.01,8.33,2020.02.22,x,n,f,f,p
6.26,3.42,9.02,2020.05.14,s,w,f,f,e
2.62,5.13,6.48,2020.03.23,f,y,f,f,p
12.01,9.07,28.48,2020.06.12,x,n,f,f,p
3.27,8.61,2.33,2020.06.29,b,k,f,f,p
10.44,12.0,11.45,2020.08.22,x,y,t,,p
5.52,6.36,10.48,2020.05.13,x,n,f,f,e
4.44,4.1,5.5,2020.09.30,x,n,t,z,p
7.0,6.51,5.33,2020.02.11,x,g,t,l,e
3.15,4.17,6.17,2020.09.21,f,g,f,f,e
2.09,7.12,2.51,2020.06.08,p,n,t,e,p
1.75,6.46,2.41,2020.11.26,p,n,t,e,p
7.1,12.74,17.77,2020.06.18,p,n,f,f,p
7.57,6.78,17.42,2020.04.18,f,y,f,f,p
8.42,11.0,14.94,2020.05.04,x,r,t,p,p
4.88,6.46,3.59,2020.08.20,x,n,f,f,e
18.53,27.86,21.6,2020.01.19,p,w,t,m,e
11.8,6.13,17.44,2020.07.27,x,n,f,f,p
2.55,6.58,4.87,2020.05.11,x,u,f,f,e
2.98,3.38,5.48,2020.06.09,f,o,f,f,p
0.78,1.98,4.29,2020.11.11,f,o,f,f,p
8.58,10.1,15.44,2020.02.16,f,n,t,g,e
5.79,3.61,6.65,2020.08.27,s,y,f,f,p
9.28,5.17,13.1,2020.06.01,s,r,t,f,p
3.87,5.14,27.59,2020.12.01,o,w,t,f,p
3.25,3.25,5.06,2020.09.28,f,w,f,f,e
5.78,5.55,10.37,2020.05.27,b,k,f,f,e
10.73,11.11,29.89,2020.01.01,x,n,f,f,p
4.72,2.76,5.13,2020.02.26,f,y,t,f,p
7.0,6.41,16.11,2020.09.04,x,p,f,f,e
3.94,6.39,6.44,2020.10.26,x,n,f,f,e
4.37,6.95,42.09,2020.06.28,s,n,f,f,e
10.11,9.3,18.51,2020.05.14,x,n,t,l,e
1.39,4.82,2.34,2020.08.03,x,n,f,f,p
2.39,4.03,3.78,2020.01.07,f,w,f,f,p
8.07,11.1,25.35,2020.05.25,x,g,f,f,e
3.58,4.34,4.87,2020.09.21,x,e,f,f,p
5.76,3.66,7.29,2020.09.01,s,o,f,f,p
5.07,5.23,8.76,2020.01.17,x,n,f,f,p
0.63,3.45,0.86,2020.08.20,x,e,f,f,p
2.64,0.0,0.0,2020.08.06,o,n,t,f,p
10.87,2.57,17.08,2020.08.31,f,b,f,f,e
16.64,20.38,78.28,2020.05.13,x,n,f,f,e
7.93,17.39,7.69,2020.12.23,x,e,f,f,p
4.27,6.54,5.28,2020.06.14,b,n,t,,p
5.04,6.1,6.75,2020.12.03,b,k,f,f,p
3.87,3.74,6.42,2020.05.28,f,n,f,f,e
1.2,3.35,2.47,2020.08.22,b,y,t,f,p
1.77,3.85,2.48,2020.01.08,x,l,f,f,p
14.58,6.03,29.34,2020.10.28,f,n,f,f,p
0.71,2.1,1.41,2020.01.02,b,g,f,f,e
9.1,13.06,12.63,2020.06.08,b,w,t,l,p
3.37,4.99,5.24,2020.03.14,s,e,f,f,p
4.74,5.36,34.16,2020.11.04,o,w,t,f,p
11.94,10.62,12.62,2020.12.22,x,g,t,g,p
2.27,7.38,2.78,2020.04.29,f,n,f,f,p
3.72,6.11,6.81,2020.08.27,x,y,f,f,p
6.89,15.4,7.95,2020.11.26,f,n,f,f,p
1.23,4.96,2.27,2020.11.04,f,g,f,f,e
1.27,5.89,1.06,2020.11.24,x,e,f,f,e
14.01,5.68,36.37,2020.02.24,s,n,f,f,p
19.32,5.18,21.92,2020.03.25,f,n,f,f,e
7.15,6.23,12.83,2020.06.07,x,n,f,f,e
8.01,11.35,16.9,2020.03.17,x,r,t,g,p
16.33,28.33,20.6,2020.11.09,p,w,t,m,e
4.0,6.46,6.17,2020.05.18,x,n,f,f,e
1.88,5.93,3.24,2020.04.13,s,n,f,f,e
21.68,5.8,36.51,2020.04.16,f,o,f,f,p
13.17,14.68,53.69,2020.07.18,p,n,f,f,e
2.4,6.84,2.53,2020.12.18,x,n,f,f,p
1.42,5.19,2.45,2020.01.04,x,n,f,f,p
4.96,4.49,12.09,2020.12.01,c,y,f,f,p
10.25,10.3,27.33,2020.09.14,x,n,f,f,p
49.59,6.36,39.08,2020.11.10,o,y,f,f,e
3.48,4.19,6.09,2020.12.11,x,p,f,f,e
7.11,4.81,14.33,2020.03.12,f,n,t,l,e
1.6,5.64,1.85,2020.11.20,x,n,f,f,e
3.04,3.75,2.55,2020.06.26,x,w,f,f,p
15.99,6.38,35.33,2020.09.10,s,n,f,f,p
2.68,6.4,2.58,2020.12.28,p,n,t,e,p
10.35,11.51,30.83,2020.10.08,x,n,f,f,p
3.82,4.88,28.6,2020.03.06,o,w,t,f,p
18.53,6.65,30.25,2020.03.19,s,w,f,f,p
2.13,3.57,3.56,2020.12.13,c,u,f,f,p
4.53,6.32,7.25,2020.07.23,x,w,f,f,e
7.15,8.92,12.38,2020.01.23,f,n,f,f,e
9.54,9.1,18.0,2020.08.03,p,n,t,l,e
3.1,5.44,4.34,2020.06.22,b,n,f,f,p
11.29,7.19,24.27,2020.09.16,x,n,f,f,e
0.69,3.89,0.94,2020.08.14,x,p,f,f,p
4.73,6.0,7.58,2020.02.11,x,l,t,e,p
3.11,11.1,2.77,2020.05.11,b,k,f,f,p
4.67,5.82,7.05,2020.11.30,x,w,f,f,e
3.17,0.0,0.0,2020.07.31,o,g,f,f,p
0.95,2.77,1.25,2020.04.28,b,w,f,f,e
4.02,6.15,4.44,2020.05.03,f,n,f,f,p
14.58,7.64,28.44,2020.04.11,f,y,t,e,e
4.31,5.99,53.09,2020.09.15,s,n,f,f,e
8.52,7.43,11.64,2020.04.24,x,n,f,f,e
13.33,7.69,22.71,2020.09.03,x,n,f,f,e
5.77,6.37,7.7,2020.11.14,x,n,t,r,e
6.49,8.69,11.01,2020.01.21,f,n,f,f,e
5.89,7.48,12.31,2020.05.11,x,w,t,l,p
14.11,15.59,33.71,2020.05.16,x,o,f,f,e
4.62,7.99,9.42,2020.09.20,x,n,t,,e
9.22,11.87,17.64,2020.05.13,x,n,f,f,p
5.53,3.75,13.26,2020.06.30,x,e,f,f,p
9.64,6.26,13.14,2020.12.05,x,l,f,f,e
8.6,6.72,13.06,2020.08.11,x,e,f,f,e
15.26,9.04,16.98,2020.12.08,x,n,t,r,e
5.26,6.86,13.3,2020.03.27,x,y,t,,e
5.57,4.25,9.79,2020.07.06,b,g,f,f,e
3.53,5.58,11.29,2020.11.20,x,n,f,f,e
2.97,6.13,2.84,2020.08.29,b,n,f,f,e
8.46,6.89,18.11,2020.12.06,x,y,f,f,e
9.81,5.5,14.46,2020.07.03,f,n,f,f,p
3.23,0.0,0.0,2020.12.24,o,g,f,f,p
20.64,6.46,46.47,2020.01.14,f,k,f,f,p
11.99,6.58,18.65,2020.06.05,f,n,f,f,e
3.4,0.0,0.0,2020.11.27,o,g,f,f,p
3.12,9.61,2.66,2020.10.24,b,k,f,f,p
7.4,7.95,19.78,2020.11.07,f,p,f,f,e
16.96,7.39,28.88,2020.01.08,s,w,f,f,p
8.85,3.75,13.34,2020.01.16,f,u,f,f,e
3.34,5.49,3.35,2020.02.11,x,n,t,r,p
4.03,5.43,3.56,2020.03.03,b,e,t,e,p
3.05,6.54,3.26,2020.09.25,b,n,f,f,e
3.31,3.88,2.77,2020.10.01,f,n,f,f,p
1.18,2.96,5.06,2020.01.06,f,y,f,f,p
6.34,6.88,7.49,2020.09.13,c,y,f,f,p
3.94,6.73,8.62,2020.07.31,s,y,f,f,e
53.57,6.33,34.2,2020.09.03,o,y,f,f,e
3.65,0.0,0.0,2020.05.19,o,w,f,f,p
11.1,23.46,12.75,2020.11.28,p,w,t,e,e
6.68,3.97,13.88,2020.10.03,f,y,f,f,e
11.23,7.23,23.21,2020.01.22,s,g,f,f,e
8.74,7.23,13.31,2020.05.08,x,n,f,f,e
14.05,8.34,17.63,2020.04.22,x,n,f,f,p
2.52,3.27,5.43,2020.06.27,f,o,f,f,p
13.59,9.43,23.38,2020.12.24,x,n,f,f,e
8.52,7.54,14.28,2020.06.28,f,n,t,,e
2.88,6.93,2.89,2020.06.11,b,n,f,f,e
8.36,10.04,13.56,2020.06.30,x,n,f,f,p
12.46,6.96,18.21,2020.10.22,x,r,f,f,p
5.6,6.13,30.51,2020.04.16,o,w,t,f,p
3.64,4.05,3.02,2020.07.31,f,n,f,f,p
3.48,8.76,6.71,2020.06.06,b,y,t,z,p
5.91,4.43,9.86,2020.10.14,f,g,f,f,e
1.25,3.67,5.3,2020.02.03,f,y,f,f,p
17.49,7.05,32.3,2020.06.18,x,w,f,f,p
9.45,11.62,16.24,2020.05.06,f,n,t,g,e
3.17,0.0,0.0,2020.05.13,o,g,f,f,p
48.34,6.0,30.16,2020.12.09,o,y,f,f,e
3.7,7.51,8.03,2020.02.02,b,y,t,z,p
4.6,7.7,8.0,2020.12.06,x,w,t,,e
8.21,7.2,21.93,2020.06.05,s,n,f,f,e
0.84,3.91,2.38,2020.04.04,b,n,t,f,p
3.96,0.0,0.0,2020.09.24,o,g,t,f,p
7.63,10.79,12.52,2020.03.13,f,r,t,g,p
10.27,3.9,20.72,2020.09.20,s,w,f,f,e
5.28,7.84,9.16,2020.10.08,x,n,f,f,p
6.49,6.13,13.26,2020.09.18,x,y,t,g,e
2.86,0.0,0.0,2020.10.10,o,g,f,f,p
1.23,5.89,1.14,2020.02.17,c,n,f,f,e
9.92,10.18,21.95,2020.12.05,x,u,f,f,p
16.2,9.94,17.84,2020.02.24,x,n,t,,e
2.92,5.91,5.69,2020.03.24,b,u,f,f,p
8.28,8.16,8.08,2020.06.13,x,y,t,z,p
1.64,5.19,1.6,2020.08.22,b,n,f,f,p
8.3,8.51,18.28,2020.04.20,x,n,t,p,e
2.83,5.04,5.93,2020.01.10,x,o,f,f,p
3.4,5.97,6.4,2020.12.06,s,n,f,f,e
8.96,7.14,12.25,2020.09.07,f,r,f,f,p
5.52,6.69,11.75,2020.09.20,c,y,f,f,p
10.2,13.04,11.73,2020.02.22,x,n,t,,p
8.77,7.44,14.55,2020.06.17,s,p,t,f,p
8.01,3.17,23.57,2020.08.27,o,n,f,f,p
2.36,7.17,2.69,2020.05.05,x,n,f,f,p
8.75,8.64,12.78,2020.12.02,f,n,t,g,e
6.6,3.32,8.25,2020.01.10,s,w,f,f,e
3.91,4.77,2.92,2020.10.15,x,w,f,f,p
0.72,3.53,0.76,2020.02.26,x,o,f,f,p
4.52,6.21,12.28,2020.11.08,x,o,f,f,e
3.88,4.58,2.94,2020.12.20,b,w,f,f,e
4.52,7.12,7.82,2020.09.08,c,y,f,f,p
2.8,3.91,6.03,2020.11.29,x,o,f,f,e
7.73,4.75,14.84,2020.08.02,x,y,f,f,p
9.14,12.89,12.77,2020.03.25,x,y,t,,p
10.53,12.12,13.74,2020.12.03,x,y,t,,p
7.15,6.33,14.99,2020.03.18,x,n,f,f,e
8.39,12.62,17.92,2020.09.05,p,n,f,f,p
2.52,5.68,6.01,2020.02.29,s,y,f,f,e
6.12,5.95,6.23,2020.01.28,s,e,f,f,p
1.56,5.08,2.54,2020.10.22,x,g,f,f,e
7.83,7.66,15.89,2020.07.07,s,p,t,f,p
10.0,5.65,28.61,2020.01.13,s,n,f,f,e
4.39,6.98,12.48,2020.07.04,x,y,f,f,e
3.94,4.15,3.28,2020.05.25,x,w,f,f,p
6.33,13.55,7.01,2020.10.03,f,e,f,f,p
13.97,7.44,25.64,2020.10.02,s,w,f,f,e
3.53,5.24,3.51,2020.12.13,x,y,t,r,p
5.81,4.74,4.03,2020.01.26,x,g,t,l,e
9.39,1.55,17.23,2020.10.15,o,r,f,f,p
2.61,2.59,4.39,2020.02.06,f,o,f,f,p
4.09,9.78,6.51,2020.04.10,b,n,t,,p
2.44,6.36,2.57,2020.01.20,b,n,f,f,e
10.17,8.45,17.47,2020.12.22,x,n,t,p,e
14.26,4.66,31.88,2020.01.20,x,o,f,f,p
2.83,5.6,4.35,2020.12.27,x,b,f,f,e
3.71,9.28,7.96,2020.05.18,b,y,t,z,p
6.76,4.95,7.84,2020.10.07,f,n,f,f,p
4.4,4.61,11.59,2020.07.30,x,n,f,f,e
0.64,3.89,0.97,2020.07.06,f,o,f,f,p
7.25,16.29,7.37,2020.02.21,f,e,f,f,p
2.08,8.47,2.7,2020.11.23,p,n,t,e,p
11.51,22.8,12.63,2020.09.17,f,w,t,e,e
3.74,4.04,9.83,2020.03.28,x,y,f,f,e
8.03,5.27,17.3,2020.12.22,s,p,f,f,e
5.93,10.53,6.59,2020.06.09,x,e,f,f,p
4.9,6.0,5.36,2020.05.21,s,e,f,f,p
5.59,5.32,15.34,2020.04.30,f,y,f,f,e
3.58,4.21,9.76,2020.10.16,x,n,f,f,e
10.23,11.92,20.97,2020.11.27,x,y,t,r,p
51.49,6.98,44.08,2020.02.27,o,y,f,f,e
11.63,8.59,18.37,2020.09.28,s,p,t,f,p
0.83,2.93,1.43,2020.02.21,x,w,f,f,p
3.07,9.53,2.38,2020.02.21,b,n,f,f,p
7.35,6.67,10.86,2020.09.10,f,y,f,f,p
8.49,19.88,13.07,2020.01.06,f,w,t,e,e
4.74,6.65,7.76,2020.09.26,b,o,f,f,p
15.07,16.97,17.51,2020.10.06,f,o,t,g,p
3.97,4.85,6.86,2020.10.14,x,n,t,z,p
5.61,5.92,8.32,2020.08.16,b,e,f,f,p
8.45,3.67,18.62,2020.10.05,o,n,f,f,e
2.76,5.05,5.66,2020.10.28,f,n,f,f,e
1.73,4.85,1.48,2020.09.02,b,n,f,f,p
9.15,11.03,15.26,2020.03.22,x,r,t,p,p
6.84,6.4,13.58,2020.03.17,x,y,t,,e
7.65,6.59,10.42,2020.05.12,f,e,f,f,p
9.19,7.39,25.27,2020.09.30,x,n,t,e,e
6.14,7.1,8.83,2020.05.21,s,n,f,f,p
15.23,22.17,18.66,2020.09.08,f,n,t,m,e
9.82,8.79,18.7,2020.09.04,p,n,t,l,e
4.06,12.34,6.58,2020.06.15,b,n,t,,p
5.65,4.31,6.53,2020.03.20,f,n,f,f,e
7.1,6.3,13.15,2020.06.23,x,w,t,g,e
15.33,4.68,23.37,2020.05.19,s,n,f,f,p
14.86,10.2,17.59,2020.09.28,x,n,t,,e
7.42,11.0,34.57,2020.07.14,x,n,f,f,p
3.7,6.31,7.97,2020.06.25,s,y,f,f,e
10.3,7.37,14.82,2020.01.09,x,y,t,,e
4.41,7.13,43.04,2020.12.09,o,n,f,f,e
6.22,5.21,9.54,2020.06.21,f,g,f,f,p
6.49,5.89,11.2,2020.07.08,b,g,f,f,e
10.76,11.03,12.81,2020.07.11,x,g,t,e,p
11.87,9.57,32.77,2020.03.02,x,n,f,f,p
3.55,5.99,2.98,2020.01.23,b,n,f,f,e
2.18,5.73,3.0,2020.05.29,b,y,f,f,p
2.91,3.0,5.08,2020.05.06,f,o,f,f,p
4.34,5.69,9.57,2020.02.11,x,n,t,z,p
1.26,3.43,5.28,2020.01.08,f,y,f,f,p
51.44,6.53,38.64,2020.10.23,o,y,f,f,e
1.54,5.8,1.01,2020.11.04,c,n,f,f,e
15.81,5.7,27.89,2020.06.13,s,w,f,f,p
6.01,9.07,8.04,2020.05.31,x,o,f,f,e
4.21,6.02,7.19,2020.03.27,f,u,f,f,p
2.97,3.89,2.97,2020.09.09,f,w,f,f,p
6.43,3.63,9.98,2020.06.23,x,w,f,f,e
2.52,6.32,2.24,2020.04.13,x,e,f,f,p
8.12,2.98,22.25,2020.11.11,o,e,f,f,p
3.0,5.14,6.14,2020.06.12,f,y,f,f,p
0.63,3.72,0.86,2020.01.06,x,p,f,f,p
6.46,11.16,13.23,2020.03.21,p,n,t,z,p
11.92,12.08,33.33,2020.03.20,p,n,f,f,p
4.65,5.87,6.2,2020.11.17,x,n,f,f,e
6.52,5.11,12.55,2020.02.12,f,y,f,f,e
3.29,3.77,2.73,2020.02.01,f,b,f,f,p
8.66,12.16,24.94,2020.05.14,x,g,f,f,e
7.1,5.98,25.39,2020.05.07,f,w,f,f,e
8.26,5.3,17.21,2020.01.04,s,p,f,f,e
5.44,11.59,12.12,2020.09.01,c,n,f,f,e
3.5,0.0,0.0,2020.04.28,o,w,f,f,p
3.44,5.62,10.93,2020.01.19,x,n,t,z,p
2.39,5.03,2.69,2020.08.05,f,l,f,f,p
1.95,6.99,2.86,2020.02.17,f,n,f,f,p
4.19,4.3,9.66,2020.04.10,x,n,f,f,e
5.57,4.42,12.45,2020.09.30,x,w,t,e,e
8.3,6.17,17.82,2020.11.05,x,e,f,f,p
1.62,1.68,2.41,2020.01.05,x,n,f,f,p
11.09,10.76,29.34,2020.02.29,x,n,f,f,p
4.04,6.03,5.99,2020.10.31,x,n,f,f,e
6.57,5.05,10.68,2020.07.23,b,k,f,f,e
7.22,16.0,8.58,2020.01.12,x,n,f,f,p
2.82,3.83,3.38,2020.02.06,b,n,f,f,e
7.47,6.22,9.46,2020.08.24,x,n,f,f,e
4.18,4.63,6.78,2020.08.18,x,e,f,f,e
7.95,3.75,9.81,2020.01.29,f,p,f,f,p
12.26,7.92,23.67,2020.01.30,s,g,f,f,e
12.75,7.67,27.09,2020.06.22,x,n,f,f,p
6.26,5.22,11.68,2020.03.27,x,b,f,f,e
4.93,7.88,10.78,2020.01.21,f,n,f,f,e
4.24,5.48,30.64,2020.08.09,o,w,t,f,p
7.12,4.4,12.43,2020.05.06,s,r,f,f,p
6.76,6.4,16.22,2020.01.08,x,y,f,f,e
14.64,9.48,27.1,2020.03.03,x,n,f,f,p
3.14,3.55,2.63,2020.10.14,x,w,f,f,p
9.8,2.43,14.23,2020.04.21,f,w,f,f,e
3.56,4.22,3.12,2020.11.01,b,p,t,e,p
4.44,3.37,11.95,2020.11.05,x,p,f,f,p
5.57,5.44,5.61,2020.09.06,x,n,t,r,e
7.01,5.06,12.73,2020.11.23,s,o,t,f,p
4.87,7.28,5.55,2020.01.28,f,n,f,f,p
20.42,6.43,44.62,2020.05.10,f,n,f,f,p
14.94,8.66,17.28,2020.01.26,x,n,t,,e
1.19,3.19,1.59,2020.11.21,b,g,f,f,e
10.83,8.33,18.3,2020.07.31,x,w,f,f,p
15.03,18.81,18.36,2020.01.28,f,e,t,p,p
5.0,7.37,4.0,2020.09.18,f,w,f,f,e
16.74,22.01,20.84,2020.07.06,p,w,t,m,e
9.3,6.3,23.17,2020.04.05,x,y,t,e,e
6.54,7.45,9.99,2020.03.07,x,e,f,f,p
7.93,7.51,15.27,2020.10.17,x,n,t,p,p
1.34,4.46,5.65,2020.03.06,x,y,f,f,p
19.65,6.9,43.36,2020.09.18,x,e,f,f,p
3.46,6.42,7.64,2020.07.20,f,n,f,f,e
1.96,5.08,1.91,2020.03.18,b,g,f,f,p
8.63,11.32,15.6,2020.07.15,x,r,t,p,p
2.53,9.73,2.77,2020.07.26,p,n,t,e,p
2.09,6.13,2.58,2020.04.25,p,n,t,e,p
1.45,3.49,1.39,2020.11.29,b,n,f,f,p
10.59,10.01,11.92,2020.06.21,x,w,f,f,p
2.6,6.7,2.56,2020.09.21,x,e,f,f,p
17.89,15.61,33.96,2020.08.22,p,o,f,f,e
2.08,7.64,3.06,2020.10.03,c,n,f,f,p
8.4,12.66,32.97,2020.01.19,p,n,f,f,p
3.51,0.0,0.0,2020.06.02,o,g,f,f,p
5.66,0.0,0.0,2020.07.04,o,n,f,f,p
5.26,4.12,8.47,2020.11.17,b,g,f,f,e
3.85,4.3,5.8,2020.02.26,x,n,t,z,p
7.31,6.71,16.43,2020.10.16,x,n,f,f,p
10.83,8.98,17.15,2020.08.01,p,n,t,p,e
9.83,8.5,18.16,2020.10.24,x,n,t,p,e
1.13,3.44,1.6,2020.01.19,x,w,f,f,p
7.77,8.87,17.98,2020.10.20,p,n,t,p,p
1.51,3.5,2.33,2020.05.12,f,k,f,f,p
7.57,6.16,10.97,2020.05.01,x,n,f,f,e
7.29,5.42,20.1,2020.03.18,f,n,f,f,e
3.65,6.36,6.5,2020.08.31,f,u,f,f,p
3.65,4.67,3.08,2020.10.08,x,y,t,r,p
6.75,7.04,22.77,2020.12.09,o,n,f,f,e
4.4,10.05,5.71,2020.09.23,b,n,t,,p
1.18,3.7,1.34,2020.08.18,b,n,f,f,p
6.71,7.42,8.98,2020.08.11,c,y,f,f,p
1.06,3.07,1.46,2020.01.11,x,w,f,f,p
1.18,3.46,5.61,2020.05.07,s,y,f,f,p
4.36,6.99,4.29,2020.05.12,x,y,f,f,e
10.6,19.11,13.54,2020.01.27,p,w,t,e,e
2.59,7.02,3.78,2020.02.26,f,n,f,f,e
1.03,3.85,1.79,2020.07.23,x,w,f,f,p
2.83,4.05,3.19,2020.10.07,b,w,f,f,e
8.38,4.66,20.05,2020.03.26,f,b,t,f,e
4.63,0.0,0.0,2020.05.24,o,r,t,f,p
2.65,5.06,3.37,2020.03.31,x,n,t,r,p
16.08,10.53,19.28,2020.01.21,x,n,t,,e
4.62,8.3,9.06,2020.03.22,x,n,t,,e
13.71,11.15,16.6,2020.03.23,f,n,t,g,p
7.1,6.53,10.72,2020.01.30,x,n,f,f,e
6.68,7.0,9.06,2020.06.14,x,n,f,f,p
7.46,6.03,10.36,2020.08.29,x,n,f,f,e
11.57,5.12,28.42,2020.09.18,s,n,f,f,p
49.56,5.8,41.35,2020.05.22,o,y,f,f,e
